EB_EB_INdt;SM1;SM2;SM3;SM4;SM5
09.04.2017;0,309986405;0,297207561;0,329408187;0,335008036;0,3052456
10.04.2017;0,308446113;0,297961102;0,326207071;0,329114951;0,301567711
11.04.2017;0,315668115;0,305818102;0,326089146;0,340545576;0,313404634
12.04.2017;0,316026741;0,307564634;0,328901484;0,336656618;0,309216514
13.04.2017;0,312307188;0,304155694;0,325605497;0,330953772;0,304355944
14.04.2017;0,309471819;0,303343669;0,323562827;0,327489313;0,302407282
15.04.2017;0,308764332;0,302280426;0,321131533;0,326515897;0,301471111
16.04.2017;0,327814076;0,313218808;0,332793266;0,35353432;0,326044236
17.04.2017;0,325953524;0,316819979;0,326529886;0,348394256;0,323844952
18.04.2017;0,32506244;0,314488617;0,323845483;0,347065389;0,322906156
19.04.2017;0,324754216;0,312855898;0,322357667;0,345255754;0,321623294
20.04.2017;0,324343559;0,312490442;0,322241407;0,344805884;0,320942491
21.04.2017;0,324825663;0,315362021;0,319766788;0,344274328;0,32060405
22.04.2017;0,325103296;0,314328177;0,322726637;0,34577491;0,321768499
23.04.2017;0,325504689;0,315560516;0,322899365;0,345669086;0,321680808
24.04.2017;0,326281895;0,320417436;0,324029013;0,345561245;0,321534233
25.04.2017;0,328117624;0,319588591;0,325027436;0,34680824;0,322313624
26.04.2017;0,330177914;0,315911417;0,328368056;0,348786382;0,323805001
27.04.2017;0,327730798;0,316218059;0,322868339;0,346206313;0,321672398
28.04.2017;0,326839927;0,316426748;0,321574583;0,34522085;0,320486276
29.04.2017;0,326364377;0,318026204;0,320932277;0,34473995;0,320039438
30.04.2017;0,32832465;0,320829035;0,324213155;0,34595857;0,321367716
01.05.2017;0,329987442;0,317640286;0,329641299;0,348758119;0,323587426
02.05.2017;0,330027647;0,31848407;0,328756011;0,348012036;0,322605591
03.05.2017;0,334682644;0,321576413;0,330815566;0,351670424;0,324582704
04.05.2017;0,336764205;0,318972318;0,331778084;0,358017554;0,327335399
05.05.2017;0,337043152;0,320070438;0,332025649;0,354929068;0,323847332
06.05.2017;0,335597442;0,321365217;0,330545933;0,352348494;0,320260456
07.05.2017;0,337797094;0,322673376;0,332961647;0,357231058;0,326161278
08.05.2017;0,342380709;0,321957195;0,339224201;0,362999578;0,330188233
09.05.2017;0,338086494;0,321522821;0,334143594;0,356344659;0,324593204
10.05.2017;0,337124022;0,321780819;0,33166527;0,350328288;0,318842268
11.05.2017;0,333853329;0,319252817;0,330178551;0,343157017;0,313783627
12.05.2017;0,336189744;0,319074802;0,331574958;0,347706973;0,317403408
13.05.2017;0,342717463;0,322723654;0,337117928;0,356890666;0,322983432
