FE_GW_EXdt;SM1;SM2;SM3;SM4;SM5
03.05.2017;0,471717288;0,555682458;0,374800253;0,397723871;0,542278996
04.05.2017;0,538691348;0,565367793;0,458823895;0,454294789;0,557938968
05.05.2017;0,508652354;0,573689985;0,383172242;0,404792773;0,553964228
06.05.2017;0,46465433;0,560144812;0,363529284;0,375508281;0,53038214
07.05.2017;0,483619147;0,585776914;0,375051471;0,400603371;0,550838741
08.05.2017;0,608190301;0,588790451;0,514169669;0,499949515;0,563881254
09.05.2017;0,54656706;0,59132511;0,40281496;0,417359794;0,560166988
10.05.2017;0,454619624;0,580071373;0,374004429;0,374775809;0,535650417
11.05.2017;0,426776254;0,553820499;0,358861018;0,358766014;0,513209692
12.05.2017;0,458129026;0,549523674;0,417932799;0,412735865;0,516339767
13.05.2017;0,466092911;0,569548213;0,399810272;0,403156619;0,543851026
14.05.2017;0,469092679;0,573750339;0,390611519;0,409648217;0,547033948
15.05.2017;0,536929731;0,583517931;0,481491428;0,510290665;0,570341199
16.05.2017;0,503537058;0,577350263;0,391714922;0,413742604;0,546024632
17.05.2017;0,458456504;0,55008109;0,366641183;0,379955218;0,516398031
18.05.2017;0,433486374;0,510909392;0,353146287;0,358511905;0,493749421
19.05.2017;0,413378294;0,484555345;0,350781249;0,351301375;0,480309854
20.05.2017;0,424135258;0,490527395;0,354999106;0,356844457;0,478969978
21.05.2017;0,416461108;0,478190547;0,355247026;0,352762635;0,476903584
22.05.2017;0,392384409;0,445780889;0,346626044;0,334493237;0,463399598
23.05.2017;0,364036832;0,413551699;0,340809952;0,312097906;0,443078044
24.05.2017;0,347084256;0,393708265;0,336799827;0,298815381;0,429675429
25.05.2017;0,370779907;0,395666024;0,350895705;0,334716911;0,428397937
26.05.2017;0,349182233;0,383093752;0,343088324;0,306021342;0,423283197
27.05.2017;0,324437167;0,36768341;0,331380796;0,272379802;0,407274608
28.05.2017;0,293455102;0,34800772;0,304498197;0,240658852;0,380412761
29.05.2017;0,261802641;0,329617268;0,265243957;0,220635483;0,348241632
30.05.2017;0,237063557;0,308115859;0,234270502;0,205890883;0,329677524
31.05.2017;0,278282605;0,308337156;0,32500084;0,266411486;0,333916093
01.06.2017;0,268066538;0,306356602;0,322184994;0,25510499;0,336409298
02.06.2017;0,254662289;0,302623353;0,306405733;0,240671482;0,335334646
03.06.2017;0,241068532;0,295732286;0,282767397;0,226736169;0,328822193
04.06.2017;0,306351612;0,332388831;0,345216391;0,303040075;0,34595138
05.06.2017;0,337184277;0,383047743;0,348771148;0,301872278;0,404155338
06.06.2017;0,404827797;0,50014614;0,41810175;0,317515042;0,501553768
