GW_GW_INdt;SM1;SM2;SM3;SM4;SM5
14.04.2017;0,243910984;0,290909833;0,236253393;0,284012772;0,273451441
15.04.2017;0,250625991;0,281745114;0,247849123;0,293952013;0,273375356
16.04.2017;0,332276567;0,324743384;0,326767044;0,405533995;0,329060448
17.04.2017;0,333437488;0,335101931;0,326325547;0,401183688;0,329276368
18.04.2017;0,32929265;0,334169502;0,321205889;0,393043801;0,3242707
19.04.2017;0,32812168;0,335656638;0,320366469;0,388535281;0,321778979
20.04.2017;0,327302206;0,333460164;0,319915622;0,385612717;0,320028356
21.04.2017;0,325805512;0,331504537;0,318500085;0,384115838;0,318959376
22.04.2017;0,326523713;0,329176514;0,33132587;0,389301336;0,321856504
23.04.2017;0,329401099;0,330314492;0,324965721;0,393108206;0,324495804
24.04.2017;0,322621783;0,327644453;0,311340712;0,373631234;0,313633935
25.04.2017;0,320564911;0,317855178;0,313448012;0,374950858;0,311007961
26.04.2017;0,328823027;0,322962968;0,324893549;0,395911539;0,323262223
27.04.2017;0,333734211;0,326640574;0,334383074;0,397499817;0,325832039
28.04.2017;0,329035292;0,324508465;0,325518032;0,390625237;0,321060045
29.04.2017;0,329477967;0,329830955;0,326634342;0,384685284;0,318627175
30.04.2017;0,323366977;0,325684202;0,308736411;0,368185083;0,311372381
01.05.2017;0,333105899;0,323112287;0,315965054;0,383182631;0,316341394
02.05.2017;0,343554292;0,334096991;0,323501453;0,397932099;0,327165569
03.05.2017;0,340567183;0,331848155;0,320794025;0,390642738;0,320533132
04.05.2017;0,342767846;0,3291422;0,334871078;0,398671978;0,325394186
05.05.2017;0,342358895;0,331092912;0,337322697;0,396690196;0,325973021
06.05.2017;0,334917226;0,325635214;0,334817022;0,381164389;0,316069273
07.05.2017;0,344493847;0,331013429;0,347054238;0,403902567;0,328549981
08.05.2017;0,348935444;0,332479049;0,35537283;0,414201026;0,333631898
09.05.2017;0,344348969;0,333087091;0,346652305;0,399753539;0,327913479
10.05.2017;0,334485967;0,330896538;0,335982832;0,37743953;0,316411264
11.05.2017;0,318765543;0,323674936;0,323581375;0,345291883;0,304356625
12.05.2017;0,324856655;0,312815115;0,336913527;0,367010478;0,304817296
13.05.2017;0,339578954;0,319225913;0,355628636;0,390916904;0,316234094
14.05.2017;0,363992041;0,338524612;0,39796403;0,426820539;0,338396139
15.05.2017;0,359093145;0,340271498;0,393385738;0,414750554;0,33456953
16.05.2017;0,34005498;0,328513506;0,370735732;0,388770135;0,32247199
17.05.2017;0,309747647;0,310075712;0,341097111;0,347908221;0,307530448
18.05.2017;0,276784593;0,299098645;0,311274988;0,300823262;0,294215587
19.05.2017;0,273493473;0,283281458;0,306349552;0,30140433;0,287888534
20.05.2017;0,31623328;0,288472809;0,328160771;0,360574958;0,296326292
21.05.2017;0,310998817;0,291841062;0,322461939;0,353659572;0,291208891
22.05.2017;0,271116495;0,290596562;0,271895082;0,301564983;0,289303087
23.05.2017;0,229047001;0,283141278;0,214400102;0,251838746;0,277839626
24.05.2017;0,238694935;0,274504896;0,21881841;0,260234978;0,273815636
25.05.2017;0,323440561;0,289358058;0,28509038;0,355608891;0,288717
26.05.2017;0,297131526;0,297521792;0,235705961;0,308841938;0,290786795
27.05.2017;0,25685439;0,293203484;0,191968675;0,260208896;0,28383219
28.05.2017;0,219370783;0,278393483;0,16714517;0,223070438;0,272927403
29.05.2017;0,193504824;0,262581193;0,150006877;0,197745157;0,262373783
30.05.2017;0,180415383;0,246385744;0,143020673;0,184840023;0,252668725
31.05.2017;0,326510251;0,342246897;0,25738506;0,35528997;0,32614585
01.06.2017;0,346464039;0,362975005;0,288179064;0,389208721;0,346165859
02.06.2017;0,352567407;0,365406505;0,302833632;0,399307675;0,349696385
03.06.2017;0,350574418;0,362892255;0,298807673;0,391861723;0,345373328
04.06.2017;0,362739944;0,366026444;0,312328665;0,410198632;0,353788484
05.06.2017;0,360109563;0,364013206;0,310714703;0,402008281;0,348327033
06.06.2017;0,363820751;0,36235876;0,320425027;0,412633527;0,352923074
07.06.2017;0,353114366;0,3625385;0,304238578;0,393897411;0,344493585
08.06.2017;0,341980609;0,357483571;0,276108617;0,367947596;0,333816269
