FE_EB_INdt;SM1;SM2;SM3;SM4;SM5
19.07.2017;NA;0,368514982;0,227194608;0,165500135;0,267073461
20.07.2017;NA;0,362947893;0,222205514;0,169739785;0,260599156
21.07.2017;NA;0,359961934;0,230387387;0,184294667;0,256960539
22.07.2017;NA;0,355835107;0,231698922;0,184483262;0,24789784
23.07.2017;NA;0,355092409;0,290880781;0,222684084;0,296667356
24.07.2017;NA;0,405009411;0,334762534;0,289764166;0,327367621
25.07.2017;NA;0,461194665;0,340749731;0,316057292;0,38406185
26.07.2017;NA;0,636307385;0,353910868;0,333031236;0,456657979
27.07.2017;NA;0,471575533;0,333317247;0,27977557;0,361644155
08.08.2017;NA;0,432851473;0,323124973;0,292857626;0,365784458
09.08.2017;NA;0,515825374;0,372680077;0,364279612;0,432981803
10.08.2017;NA;0,481397432;0,364095982;0,351923287;0,414439849
11.08.2017;NA;0,51851118;0,371471257;0,375509821;0,470961701
12.08.2017;NA;0,454780112;0,357928834;0,350948155;0,411421722
13.08.2017;NA;0,443410413;0,345023639;0,339770171;0,409914581
14.08.2017;NA;0,43466265;0,326233204;0,304930159;0,399553188
15.08.2017;NA;0,427796032;0,302833602;0,266921566;0,38764663
16.08.2017;NA;0,440665242;0,346857849;0,344584756;0,38447845
17.08.2017;NA;0,429998415;0,318438471;0,295853501;0,38137964
18.08.2017;NA;0,433373638;0,310971481;0,275916706;0,370357557
19.08.2017;NA;0,465779838;0,385517891;0,373641677;0,403510517
20.08.2017;NA;0,451156188;0,37254158;0,357049533;0,40762659
21.08.2017;NA;0,441846511;0,353498978;0,333058493;0,394160889
22.08.2017;NA;0,433998192;0,330320041;0,302987477;0,388101155
23.08.2017;NA;0,42776035;0,317830197;0,266286315;0,378553119
24.08.2017;NA;0,421442672;0,292066963;0,231346664;0,365343717
25.08.2017;NA;0,415472194;0,267416241;0,20897499;0,351628625
26.08.2017;NA;0,410927308;0,250413921;0,195789935;0,340657412
27.08.2017;NA;0,405449384;0,234025581;0,18530132;0,328547077
28.08.2017;NA;0,399470977;0,22353475;0,184454726;0,318340087
29.08.2017;NA;0,392502936;0,213673989;0,176127577;0,301859934
30.08.2017;NA;0,384218115;0,206914984;0,167649769;0,286064467
31.08.2017;NA;0,381594189;0,229197929;0,171285688;0,287763852
01.09.2017;NA;0,489934;0,371363711;0,279738735;0,35538178
02.09.2017;NA;0,64866718;0,381223042;0,327459993;0,505043822
03.09.2017;NA;0,494671262;0,369119582;0,304674793;0,39993777
04.09.2017;NA;0,477493137;0,362410098;0,294961912;0,390632571
05.09.2017;NA;0,467190834;0,358186808;0,277431953;0,391962501
06.09.2017;NA;0,457633351;0,351175024;0,252142833;0,38588086
07.09.2017;NA;0,451227997;0,341888153;0,23484675;0,377028924
08.09.2017;NA;0,444882866;0,329099155;0,225277848;0,369906077
09.09.2017;NA;0,440956819;0,326810912;0,213868001;0,362850134
10.09.2017;NA;0,480132797;0,384381478;0,262255648;0,361529524
11.09.2017;NA;0,463356036;0,367511549;0,274360281;0,36292071
12.09.2017;NA;0,45804335;0,367354055;0,258418544;0,361398346
13.09.2017;NA;0,452395726;0,360833735;0,245583774;0,358200615
14.09.2017;NA;0,460239948;0,371899789;0,235546814;0,357890992
15.09.2017;NA;0,461281997;0,376910305;0,240217675;0,358692184
16.09.2017;NA;0,477360022;0,396327747;0,283290226;0,358490622
17.09.2017;NA;0,500943282;0,402981473;0,315698257;0,366358706
18.09.2017;NA;0,47940083;0,391348385;0,310684878;0,380758686
19.09.2017;NA;0,469149423;0,380349863;0,285644275;0,380759532
20.09.2017;NA;0,469943808;0,390372147;0,294204382;0,381517012
21.09.2017;NA;0,465369316;0,395021425;0,304905386;0,384090869
22.09.2017;NA;0,45795868;0,396644893;0,296463308;0,38367242
23.09.2017;NA;0,453234075;0,387858667;0,284633756;0,382809602
24.09.2017;NA;0,449069265;0,374682856;0,273717202;0,381188993
25.09.2017;NA;0,444909734;0,368204297;0,260508087;0,379091763
26.09.2017;NA;0,441312963;0,355783402;0,244765555;0,376492259
27.09.2017;NA;0,438081583;0,346104544;0,237141409;0,370971959
28.09.2017;NA;0,435145194;0,337886794;0,230426755;0,3683917
29.09.2017;NA;0,432187299;0,331590963;0,225251023;0,364346044
30.09.2017;NA;0,429806056;0,328001383;0,226091106;0,360246378
01.10.2017;NA;0,490267738;0,433027716;0,335158939;0,386638784
02.10.2017;NA;0,468151384;0,422282406;0,316990097;0,407629011
