FE_EB_EXdt;SM1;SM2;SM3;SM4;SM5
08.04.2017;0,333906983;0,509361636;0,335557472;0,302257895;0,463341068
09.04.2017;0,310053408;0,493724812;0,314864847;0,27243508;0,456188095
10.04.2017;0,280430175;0,474729346;0,28651309;0,23117452;0,442086172
11.04.2017;0,259564108;0,461910108;0,263797755;0,212286916;0,428298887
12.04.2017;0,2464999;0,449705913;0,247725863;0,20363485;0,417509978
13.04.2017;0,229355857;0,431452082;0,225012272;0,18975002;0,401103147
14.04.2017;0,221306255;0,421008914;0,213958908;0,187223925;0,394570244
15.04.2017;0,212682292;0,407923443;0,206217156;0,184202057;0,38757629
16.04.2017;0,320786835;0,440378088;0,286450059;0,315641325;0,436818345
17.04.2017;0,402769555;0,553149459;0,366500005;0,364905141;0,554620652
18.04.2017;0,412450765;0,557648205;0,38065596;0,372871403;0,575508834
19.04.2017;0,414315617;0,56268906;0,374909645;0,377779846;0,581967175
20.04.2017;0,406012634;0,56364958;0,365180094;0,370126655;0,580937155
21.04.2017;0,383115154;0,55607722;0,361398051;0,357689758;0,55523158
22.04.2017;0,372950875;0,543604253;0,357341888;0,352513871;0,537755775
23.04.2017;0,405217238;0,562812066;0,372521766;0,370117064;0,563411242
24.04.2017;0,375642298;0,547001388;0,357347523;0,348335977;0,541038266
25.04.2017;0,383061095;0,541118716;0,362082878;0,353935335;0,53770318
26.04.2017;0,454547989;0,599446652;0,396314308;0,391791231;0,58824919
27.04.2017;0,477119932;0,625156347;0,392317301;0,389257569;0,590585003
28.04.2017;0,483864895;0,60527402;0,397914833;0,383303477;0,596624636
29.04.2017;0,461343706;0,60863214;0,384243765;0,375276236;0,591745371
30.04.2017;0,393101721;0,574302772;0,367298233;0,359634295;0,563820194
01.05.2017;0,448304932;0,57909985;0,408817863;0,383590611;0,567530438
02.05.2017;0,488463125;0,599690425;0,407759388;0,384098925;0,592894847
03.05.2017;0,425461561;0,57475851;0,387645703;0,377504981;0,57580015
04.05.2017;0,497270984;0,593389676;0,410267382;0,39877147;0,595337749
05.05.2017;0,436009611;0,583950901;0,388900028;0,385702497;0,589930606
06.05.2017;0,406130775;0,565459647;0,368252192;0,372024907;0,565565321
07.05.2017;0,44511826;0,584088949;0,410986248;0,400560043;0,592462725
08.05.2017;0,530747522;0,629995665;0,440045379;0,424825544;0,61252222
09.05.2017;0,480052599;0,599736519;0,419951115;0,403022063;0,604517179
10.05.2017;0,424955197;0,575161797;0,398275115;0,37783673;0,581492781
11.05.2017;0,383069222;0,552947039;0,37573569;0,353722712;0,548474189
12.05.2017;0,41222572;0,560082714;0,384264815;0,371668063;0,550584676
13.05.2017;0,42687933;0,575435338;0,409121427;0,385796258;0,577788256
14.05.2017;0,45672905;0,576029527;0,421235941;0,405273651;0,585652143
15.05.2017;0,530636276;0,602381339;0,45830015;0,448806076;0,611024772
16.05.2017;0,445429865;0,57747604;0,408847299;0,400880801;0,590904777
17.05.2017;0,381483485;0,551165353;0,374071783;0,368652685;0,551423624
18.05.2017;0,333451989;0,521290795;0,343565905;0,338010227;0,524831513
19.05.2017;0,313028795;0,498230472;0,331439132;0,326613946;0,509428706
20.05.2017;0,327828467;0,48996242;0,342367687;0,35070934;0,502977551
21.05.2017;0,324623955;0,482008598;0,337385486;0,345470476;0,493103811
22.05.2017;0,292925618;0,464220247;0,314576592;0,306063675;0,46962537
23.05.2017;0,261466734;0,438658816;0,285116405;0,262305598;0,439428913
24.05.2017;0,25417999;0,422897229;0,275170998;0,235487162;0,419247238
25.05.2017;0,332458868;0,422400485;0,333199734;0,283684522;0,417417422
26.05.2017;0,294617595;0,415961438;0,282504858;0,241157902;0,40343378
27.05.2017;0,257671662;0,401036132;0,240843491;0,20303331;0,379869792
28.05.2017;0,22588645;0,379290314;0,213383753;0,178666632;0,355321072
29.05.2017;0,202467745;0,362454517;0,191564207;0,160212233;0,329080806
30.05.2017;0,189902066;0,340297809;0,174816787;0,144940132;0,298769045
31.05.2017;0,273282807;0,32497557;0,222855133;0,177684146;0,334214548
01.06.2017;0,258520451;0,326070925;0,219344544;0,164519505;0,313896327
02.06.2017;0,240140161;0,326285419;0,207834431;0,154408914;0,2936362
03.06.2017;0,226315234;0,32513879;0,19684515;0,145247807;0,278821376
04.06.2017;0,326703828;0,380977078;0,273328859;0,197330411;0,317081893
05.06.2017;0,326758794;0,489557821;0,291447021;0,253859727;0,302934363
06.06.2017;0,369881363;0,552683013;0,312117198;0,297623606;0,350598082
07.06.2017;0,328867383;0,497952869;0,30829685;0,276121315;0,410705773
08.06.2017;0,317014185;0,480457797;0,298009823;0,247893147;0,395234878
09.06.2017;0,308522803;0,474249012;0,288120931;0,230688755;0,390719122
10.06.2017;0,30272606;0,46940422;0,288474059;0,225588518;0,387714355
11.06.2017;0,279124927;0,46040593;0,274677537;0,208370309;0,381211991
12.06.2017;0,28204877;0,455624385;0,288918846;0,213657987;0,375546564
13.06.2017;0,316135961;0,475525869;0,320638859;0,250401582;0,385345043
14.06.2017;0,284582271;0,462792822;0,323550056;0,216693968;0,37968743
15.06.2017;0,252522244;0,447049006;0,291824384;0,194035008;0,370115972
16.06.2017;0,298592673;0,472632765;0,326854191;0,208517643;0,407228793
17.06.2017;0,279829027;0,467226002;0,313182446;0,191878944;0,391691863
18.06.2017;0,241884266;0,445434596;0,277098394;0,17372251;0,368742637
19.06.2017;0,21116795;0,42248175;0,245720598;0,156519859;0,347271034
20.06.2017;0,19344313;0,396766056;0,220270367;0,1426257;0,322634543
21.06.2017;0,1845578;0,375423793;0,203831033;0,134309777;0,304582185
22.06.2017;0,17782256;0,351371054;0,192735765;0,128008123;0,284678505
23.06.2017;0,169286916;0,322238334;0,178373573;0,117527297;0,257997066
24.06.2017;0,164015354;0,300316124;0,169097949;0,110955036;0,240554913
25.06.2017;0,175373851;0,287583041;0,167599157;0,135216595;0,256835512
26.06.2017;0,179625159;0,279473485;0,172308757;0,137366442;0,248104607
27.06.2017;0,234768342;0,274919107;0,223495887;0,188112829;0,24123852
28.06.2017;0,223198629;0,27254956;0,228447291;0,193740265;0,23354365
29.06.2017;0,26291761;0,30043477;0,240485787;0,241960168;0,286140268
30.06.2017;0,234735021;0,374649235;0,225005254;0,221905505;0,324101614
01.07.2017;0,217373018;0,362527746;0,234090303;0,201935882;0,301974372
02.07.2017;0,216720937;0,347705202;0,23370235;0,204523858;0,289160174
03.07.2017;0,249914647;0,351384949;0,255218801;0,243998497;0,289597715
04.07.2017;0,223086604;0,344339342;0,240929264;0,208442371;0,280187978
05.07.2017;0,197436528;0,322874191;0,215841168;0,17693507;0,26385288
06.07.2017;0,184813676;0,29974545;0,195438772;0,152862739;0,248309881
07.07.2017;0,191906136;0,291250615;0,191499657;0,141379752;0,241889346
08.07.2017;0,251785566;0,400328881;0,247512165;0,196723795;0,31002841
09.07.2017;0,246411052;0,393175805;0,246052027;0,200273755;0,300470921
10.07.2017;0,256241582;0,402004683;0,250205438;0,224344471;0,295662996
11.07.2017;0,24619461;0,393119354;0,242620459;0,221138375;0,286126689
12.07.2017;0,243358903;0,376753538;0,239032218;0,219600118;0,275216585
13.07.2017;0,226897204;0,364209842;0,225757092;0,208111628;0,266755396
14.07.2017;0,240042274;0,361357263;0,230798598;0,228674024;0,263896354
15.07.2017;0,263834426;0,362714047;0,247021667;0,255390105;0,264181605
16.07.2017;0,236509829;0,353703557;0,228680126;0,218329729;0,257157469
17.07.2017;0,210615702;0,33956206;0,207520204;0,184972077;0,242690697
18.07.2017;0,195304375;0,325496931;0,192585196;0,155778315;0,228049237
19.07.2017;0,186591564;0,312166382;0,182799072;0,133679414;0,217264345
20.07.2017;0,216519052;0,303253716;0,185333403;0,154243947;0,259590259
21.07.2017;0,222783223;0,302093766;0,189846484;0,171158571;0,252214098
22.07.2017;0,215914306;0,297838906;0,190340663;0,168007704;0,224229799
23.07.2017;0,263399041;0,298280126;0,228462941;0,206861031;0,291934575
24.07.2017;0,284034939;0,354823896;0,254255447;0,253630881;0,32438349
25.07.2017;0,28162132;0,443430911;0,242746098;0,272263326;0,370252921
26.07.2017;0,320290852;0,60896709;0,257857121;0,290753659;0,519344394
27.07.2017;0,288372059;0,485925277;0,244719135;0,249317475;0,396810003
08.08.2017;0,278921737;0,4434128;0,342326699;0,244226094;0,397562729
09.08.2017;0,346251265;0,546122838;0,379042146;0,302645259;0,504058961
10.08.2017;0,34910614;0,511615699;0,372252399;0,331823878;0,4713789
11.08.2017;0,388436768;0,535094022;0,379795082;0,389814505;0,519700473
12.08.2017;0,357415214;0,48548776;0,366264628;0,341532608;0,463150104
13.08.2017;0,351597403;0,471209425;0,358296165;0,332695913;0,446669826
14.08.2017;0,337070234;0,45578263;0,346051032;0,306577746;0,429499635
15.08.2017;0,316388801;0,441027234;0,331148339;0,264025462;0,411631839
16.08.2017;0,362017619;0,463643164;0,361648926;0,309712235;0,417846376
17.08.2017;0,336179805;0,453235859;0,337829198;0,281166245;0,409144182
18.08.2017;0,328218351;0,457838268;0,332482209;0,260241317;0,403495545
19.08.2017;0,372468115;0,513732796;0,379414704;0,335702126;0,462383787
20.08.2017;0,363849645;0,488668804;0,362402191;0,320692938;0,450515625
