GW_EB_INdt;SM1;SM2;SM3;SM4;SM5
04.07.2017;0,233153588;0,269244639;0,296263273;0,324660689;0,344745009
05.07.2017;0,20345614;0,2545545;0,28259527;0,297390583;0,34590549
06.07.2017;0,182605734;0,246199462;0,245159262;0,27993795;0,341439727
07.07.2017;0,171465027;0,241203558;0,210149682;0,269280637;0,336051173
08.07.2017;0,230221448;0,288447763;0,296851732;0,348688254;0,38389535
09.07.2017;0,231570509;0,283028555;0,30297991;0,351811515;0,379902973
10.07.2017;0,25188171;0,3028796;0,320343762;0,369325372;0,391167102
11.07.2017;0,25977262;0,308691708;0,31915193;0,367679986;0,390466396
12.07.2017;0,254495242;0,301374168;0,316176406;0,364405775;0,385562736
13.07.2017;0,270889591;0,310539839;0,321454393;0,375833713;0,398663734
14.07.2017;0,273834541;0,31389378;0,328086461;0,383269192;0,400264242
15.07.2017;0,272977925;0,314243546;0,328900276;0,380793608;0,400170759
16.07.2017;0,252621591;0,295358858;0,316491425;0,358352971;0,384323472
17.07.2017;0,228808052;0,280256748;0,297416396;0,333329567;0,371083509
18.07.2017;0,218328305;0,273370759;0,29796528;0,336942439;0,367795222
19.07.2017;0,241803154;0,285277176;0,318176667;0,366315258;0,384932837
20.07.2017;0,279510818;0,311990701;0,338546688;0,394019793;0,41247212
21.07.2017;0,262500232;0,310557233;0,335836729;0,385824844;0,40391752
22.07.2017;0,252055026;0,306792314;0,333483117;0,380842692;0,397572612
23.07.2017;0,269793323;0,316149662;0,341231793;0,396105695;0,417112338
24.07.2017;0,285773122;0,32865945;0,355359047;0,415777154;0,430147044
25.07.2017;0,287118228;0,327967703;0,358100489;0,419695258;0,430193183
26.07.2017;0,305956973;0,33751467;0,373976804;0,445298261;0,452774536
27.07.2017;0,271512996;0,316925999;0,34646996;0,399921617;0,413560213
08.08.2017;0,294844756;0,317657096;0,380759778;0,392838116;0,426611147
09.08.2017;0,31868164;0,327549002;0,38740612;0,410634502;0,438809865
10.08.2017;0,313908239;0,323592528;0,389488547;0,403302267;0,434810025
11.08.2017;0,321380926;0,328383827;0,404392868;0,407652489;0,437593631
12.08.2017;0,314167265;0,322122057;0,399275765;0,395676962;0,422374465
13.08.2017;0,296319211;0,312235533;0,381522973;0,378764497;0,408829597
14.08.2017;0,284452143;0,309159819;0,378112006;0,372365569;0,401484793
15.08.2017;0,286234616;0,308893549;0,380921812;0,375631383;0,403038422
16.08.2017;0,327643044;0,329202913;0,402349501;0,410317522;0,429014826
17.08.2017;0,297580305;0,315131853;0,377581241;0,377767729;0,40481101
18.08.2017;0,285908141;0,311102017;0,374460742;0,369038937;0,403288422
19.08.2017;0,346266449;0,342713785;0,419042862;0,437479412;0,443515627
20.08.2017;0,323239663;0,324316643;0,389049353;0,404581673;0,41727645
21.08.2017;0,303073692;0,312023444;0,373067725;0,383563371;0,403540702
22.08.2017;0,283130616;0,304836136;0,360844518;0,365079027;0,393332726
23.08.2017;0,256477421;0,29972316;0,345413968;0,341513014;0,382654455
24.08.2017;0,255712023;0,305566789;0,357992556;0,346006811;0,390487153
25.08.2017;0,308161291;0,329584284;0,362257391;0,392040459;0,418711036
26.08.2017;0,282406885;0,317406287;0,335234626;0,373528574;0,401487971
27.08.2017;0,262042534;0,306800024;0,327303497;0,360163657;0,392383664
28.08.2017;0,239789113;0,299873707;0,316784659;0,344186555;0,383685822
29.08.2017;0,211338651;0,291592545;0,297289629;0,31986719;0,371864044
30.08.2017;0,188472917;0,278389987;0,272365698;0,294979952;0,357318312
31.08.2017;0,199034609;0,27879248;0,286487433;0,307428277;0,367600689
01.09.2017;0,333165398;0,352546092;0,368820969;0,424206122;0,454483863
02.09.2017;0,347347514;0,356270926;0,387833288;0,438629798;0,470478585
03.09.2017;0,333321288;0,345104964;0,3679313;0,405945579;0,447232095
04.09.2017;0,305179887;0,330347896;0,350090421;0,372704234;0,421727331
05.09.2017;0,31000178;0,335242163;0,365871547;0,388809142;0,426087983
06.09.2017;0,314939084;0,338464704;0,374055846;0,402173669;0,425020415
07.09.2017;0,322166291;0,338756403;0,370057827;0,41475336;0,424326205
08.09.2017;0,298884521;0,326193623;0,35587162;0,39638855;0,413129018
09.09.2017;0,302919094;0,33069459;0,370602047;0,408995555;0,413800519
10.09.2017;0,338360684;0,347330797;0,387352269;0,440324638;0,436777259
11.09.2017;0,313578428;0,333979893;0,366189583;0,417123757;0,430273211
12.09.2017;0,325506168;0,339204491;0,380913292;0,426550891;0,442395965
13.09.2017;0,315805664;0,33169665;0,366459447;0,416791782;0,43456673
14.09.2017;0,323331817;0,337543414;0,380141039;0,430440403;0,443586829
15.09.2017;0,319520318;0,332953163;0,370341272;0,423375335;0,439856897
