FE_GW_INdt;SM1;SM2;SM3;SM4;SM5
07.09.2017;0,334719505;0,406506421;0,33523326;0,35578925;0,407598476
08.09.2017;0,324316418;0,399439591;0,323539169;0,344089519;0,401104969
09.09.2017;0,32357987;0,394069266;0,329004568;0,337695233;0,396400486
10.09.2017;0,374578899;0,439270651;0,370917782;0,39226977;0,453677964
11.09.2017;0,365411675;0,433003475;0,351572215;0,374433302;0,431106449
12.09.2017;0,361826986;0,420310404;0,350060557;0,368946949;0,420765706
13.09.2017;0,355966341;0,413235239;0,341921663;0,362221997;0,41532834
14.09.2017;0,367370993;0,421948099;0,359044715;0,375578826;0,427783992
15.09.2017;0,369000309;0,428961611;0,351728753;0,373475418;0,432251965
16.09.2017;0,382668807;0,448735964;0,373073149;0,388594542;0,453865002
17.09.2017;0,396165932;0,490263297;0,379486938;0,395166651;0,470143929
18.09.2017;0,386246176;0,457976055;0,363230844;0,385326166;0,456113079
19.09.2017;0,372860936;0,437557727;0,355219438;0,370621606;0,43483385
