GW_GW_EXdt;SM1;SM2;SM3;SM4;SM5
21.07.2017;0,352553359;0,41438755;0,333517972;0,374275331;0,345571169
22.07.2017;0,352007449;0,404868075;0,329539326;0,3682934;0,34313102
23.07.2017;0,353898039;0,43704607;0,337337259;0,385793965;0,352212111
24.07.2017;0,354610751;0,455466817;0,346635225;0,405994886;0,368676142
25.07.2017;0,354083313;0,458777336;0,347300515;0,404941297;0,36191101
26.07.2017;0,360338074;0,4790939;0,357770536;0,43053056;0,369316477
27.07.2017;0,348127689;0,441078348;0,33727097;0,385182192;0,348458487
08.08.2017;0,353845862;0,431628556;0,290314243;0,395210943;0,352365776
09.08.2017;0,355627942;0,459967287;0,340508401;0,419533856;0,36630823
10.08.2017;0,355505504;0,453233733;0,337441533;0,414075773;0,361142184
11.08.2017;0,353768895;0,464544144;0,340841409;0,425598736;0,368052276
12.08.2017;0,352048198;0,445198968;0,337204443;0,412643233;0,36311908
13.08.2017;0,35204329;0,42770859;0,327571133;0,389532461;0,352258302
14.08.2017;0,351369712;0,421389249;0,323915213;0,378286333;0,3453949
15.08.2017;0,352212122;0,421736612;0,323855609;0,381237538;0,344233501
16.08.2017;0,356277204;0,460244153;0,341604817;0,421485702;0,367669094
17.08.2017;0,353597847;0,425942617;0,324456534;0,383505659;0,349745215
18.08.2017;0,352067522;0,423845849;0,314206779;0,370555327;0,343517391
19.08.2017;0,357812936;0,476628882;0,350057946;0,434751375;0,375706924
20.08.2017;0,35299967;0,440669616;0,33687249;0,404067344;0,360466335
21.08.2017;0,350287319;0,421658844;0,323443663;0,378283465;0,347712138
22.08.2017;0,348506163;0,41340805;0,309486869;0,355088941;0,339795571
23.08.2017;0,33543569;0,406683415;0,285453177;0,325025067;0,330755201
24.08.2017;0,316277156;0,416290996;0,286606148;0,326119504;0,335191499
25.08.2017;0,353716345;0,442435425;0,333227472;0,385444322;0,361869394
26.08.2017;0,350110387;0,419581432;0,322072319;0,347297865;0,34616163
27.08.2017;0,33893403;0,408915231;0,305428224;0,312306465;0,335709494
28.08.2017;0,3142085;0,400356396;0,287481544;0,284960893;0,327060316
29.08.2017;0,276588325;0,390615416;0,264755442;0,254897156;0,31665327
30.08.2017;0,237707267;0,376367385;0,244824301;0,23985949;0,30225304
31.08.2017;0,238962158;0,382158923;0,265166085;0,244747753;0,305743204
01.09.2017;0,353594652;0,504246438;0,351617527;0,406611768;0,378856795
02.09.2017;0,361203192;0,533866683;0,358850717;0,428417471;0,387004677
03.09.2017;0,354151334;0,497274272;0,348589124;0,406393549;0,376741124
04.09.2017;0,34810674;0,446890294;0,335517102;0,380325202;0,360512093
05.09.2017;0,351734013;0,451436586;0,343039917;0,391189509;0,364601475
06.09.2017;0,353134574;0,453982488;0,346179929;0,404496957;0,365585761
07.09.2017;0,353293261;0,455604254;0,343080964;0,397464576;0,364940379
08.09.2017;0,349986555;0,431160434;0,329830174;0,375328913;0,351965043
09.09.2017;0,353983161;0,437685736;0,338615044;0,388013442;0,352867717
10.09.2017;0,364867163;0,480578447;0,350442931;0,429871394;0,372897463
11.09.2017;0,353364553;0,44355346;0,337763842;0,430194294;0,359384535
12.09.2017;0,356143939;0,454070808;0,345193665;0,447091214;0,364869493
13.09.2017;0,350967737;0,437833097;0,336702968;0,429943613;0,355903733
14.09.2017;0,355280875;0,4509558;0,344741752;0,444774717;0,362099738
15.09.2017;0,351187884;0,442981368;0,33865758;0,435998822;0,358431561
16.09.2017;0,368878028;0,474699033;0,355889823;0,474168356;0,373323923
17.09.2017;0,362338292;0,462946192;0,350433567;0,469489422;0,371789762
18.09.2017;0,358688526;0,457945803;0,347704592;0,461544663;0,367955981
19.09.2017;0,360999619;0,458172023;0,350419231;0,465880136;0,367718658
20.09.2017;0,360777179;0,455462101;0,346595753;0,467717999;0,367572716
21.09.2017;0,351255374;0,433370346;0,336325715;0,438728992;0,356707147
22.09.2017;0,346820357;0,425556316;0,32978281;0,419696039;0,350342768
23.09.2017;0,345379967;0,418647263;0,323369316;0,401108725;0,344533241
24.09.2017;0,344802335;0,417797649;0,333529925;0,393978607;0,343705745
25.09.2017;0,344014242;0,415994314;0,333626063;0,392485798;0,341764694
26.09.2017;0,344898438;0,415442902;0,337004507;0,400076758;0,341190424
27.09.2017;0,354088952;0,432824367;0,345069633;0,447764437;0,358247616
28.09.2017;0,349004195;0,423072668;0,335903798;0,419248976;0,350707377
29.09.2017;0,347315805;0,417973411;0,332678531;0,408184661;0,345734628
30.09.2017;0,351257632;0,42012045;0,335009673;0,407199354;0,344422592
01.10.2017;0,373670816;0,495708117;0,358798953;0,480464982;0,38204527
02.10.2017;0,357582185;0,451087471;0,345660087;0,450871504;0,367302646
03.10.2017;0,381789945;0,490022811;0,361618618;0,483663132;0,390100554
04.10.2017;0,359455225;0,45066551;0,34277155;0,456659307;0,367689131
05.10.2017;0,359835228;0,443323911;0,345831513;0,445097327;0,362730093
06.10.2017;0,385947663;0,502291396;0,363920911;0,491072993;0,390487361
07.10.2017;0,367958689;0,466820101;0,349068791;0,469381094;0,373497086
08.10.2017;0,365270365;0,456583343;0,354033914;0,468936396;0,371657041
09.10.2017;0,365131147;0,458254001;0,354385327;0,469221522;0,372414492
10.10.2017;0,359669699;0,448011683;0,349721466;0,456028727;0,366334811
11.10.2017;0,352434221;0,436681402;0,34359328;0,439512587;0,358654347
12.10.2017;0,347639903;0,428484935;0,341555541;0,42444262;0,352518
13.10.2017;0,345465978;0,422728884;0,338333479;0,411857631;0,347967891
14.10.2017;0,343993915;0,419133777;0,336654367;0,399526284;0,344450032
15.10.2017;0,341491404;0,412299389;0,332650952;0,38761848;0,339159782
16.10.2017;0,335778183;0,405531111;0,327757033;0,376207888;0,334569426
17.10.2017;0,324543706;0,3986667;0,322697096;0,363444389;0,3298506
18.10.2017;0,308738427;0,392538572;0,316481569;0,351397025;0,325694398
19.10.2017;0,289310266;0,38662954;0,3098718;0,339459838;0,322066642
20.10.2017;0,27005806;0,380393724;0,303381251;0,328344323;0,317194678
21.10.2017;0,254899697;0,376236471;0,298358934;0,318647189;0,313728753
22.10.2017;0,261387637;0,380725585;0,347674792;0,362487789;0,320360778
23.10.2017;0,34947842;0,438179216;0,370107057;0,472710088;0,36691657
24.10.2017;0,351526315;0,468044704;0,356179376;0,462097884;0,371609898
