EB_EB_EXdt;SM1;SM2;SM3;SM4;SM5
25.02.2017;NA;0,260907736;0,245122532;NA;NA
26.02.2017;NA;0,256339412;0,251802711;NA;NA
27.02.2017;NA;0,25665613;0,255727227;NA;NA
28.02.2017;NA;0,26555378;0,253976422;NA;NA
01.03.2017;NA;0,275196343;0,253133674;NA;NA
02.03.2017;NA;0,272026872;0,260490442;NA;NA
03.03.2017;NA;0,263339816;0,265035053;NA;NA
04.03.2017;NA;0,266402669;0,266606407;NA;NA
05.03.2017;NA;0,272588631;0,267113216;NA;NA
06.03.2017;NA;0,274666235;0,268742681;NA;NA
07.03.2017;NA;0,27618253;0,272333378;NA;NA
08.03.2017;NA;0,280228522;0,275326429;NA;NA
09.03.2017;NA;0,287520718;0,286640919;NA;NA
10.03.2017;NA;0,280562637;0,286296261;NA;NA
11.03.2017;NA;0,275097347;0,289698509;NA;NA
12.03.2017;NA;0,275414222;0,294487065;NA;NA
13.03.2017;NA;0,276454214;0,297917739;NA;NA
14.03.2017;NA;0,277395886;0,301510747;NA;NA
15.03.2017;NA;0,278653989;0,304816852;NA;NA
16.03.2017;NA;0,280487519;0,307977527;NA;NA
17.03.2017;NA;0,284220947;0,3121854;NA;NA
18.03.2017;NA;0,289656585;0,316706274;NA;NA
19.03.2017;0,281261333;0,293436674;0,324098221;0,337994895;0,304042573
20.03.2017;0,360917617;0,291229683;0,347114267;0,380713034;0,306085715
21.03.2017;0,388875936;0,296884994;0,362789753;0,434893712;0,30900392
22.03.2017;0,399595117;0,311494076;0,366984191;0,434634878;0,315790353
23.03.2017;0,382076826;0,319832828;0,362856508;0,412790258;0,317706117
24.03.2017;0,370977387;0,333633225;0,358163468;0,39897771;0,324628758
25.03.2017;0,36797259;0,330185193;0,354435572;0,386638961;0,319849535
26.03.2017;0,345845227;0,320603946;0,348482218;0,378324789;0,316006298
27.03.2017;0,332706388;0,315936987;0,3461195;0,374985136;0,314803828
28.03.2017;0,32833309;0,314476695;0,344293477;0,37152533;0,314131429
29.03.2017;0,322949842;0,312812721;0,342523947;0,368474173;0,313611944
30.03.2017;0,305998576;0,285945078;0,339618645;0,365928201;0,313943082
31.03.2017;0,296713126;0,270747057;0,337422022;0,364297924;0,31334415
01.04.2017;0,293231971;0,273033211;0,334280665;0,358651508;0,311121678
02.04.2017;0,292218169;0,274766817;0,33249541;0,354915126;0,309646867
03.04.2017;0,308970345;0,290726629;0,340546573;0,362800117;0,31795234
04.04.2017;0,325102008;0,316638494;0,34839484;0,375001841;0,328097674
05.04.2017;0,317192905;0,316659019;0,243800691;0,372073043;0,325273968
06.04.2017;0,320799944;0,320716835;0,193851433;0,372827813;0,326762677
07.04.2017;0,314729035;0,318282297;0,201718753;0,370288446;0,324668328
08.04.2017;0,311680396;0,314698931;0,21269569;0,36911359;0,322418007
09.04.2017;0,307500859;0,311737124;0,222698813;0,365584553;0,320070305
10.04.2017;0,300118199;0,308024263;0,227749184;0,359716068;0,317106045
11.04.2017;0,313991024;0,319499887;0,239199228;0,366162592;0,324010217
12.04.2017;0,308538732;0,317664617;0,243290321;0,365082849;0,321974699
13.04.2017;0,299630985;0,312438541;0,244419613;0,359393406;0,318630162
14.04.2017;0,296914224;0,31242429;0,245393457;0,356641378;0,316829567
15.04.2017;0,297244152;0,311701575;0,249238939;0,354154888;0,315772712
16.04.2017;0,33702076;0,33067129;0,269619364;0,377843632;0,331357065
17.04.2017;0,349483387;0,332354841;0,26675768;0,373794631;0,330342049
18.04.2017;0,351616827;0,331244238;0,266648511;0,372438793;0,329599567
19.04.2017;0,349466744;0,33101183;0,269341982;0,371156075;0,32838224
20.04.2017;0,349113968;0,33096997;0,271077067;0,370244233;0,327660035
21.04.2017;0,349410954;0,331332846;0,272096638;0,369951791;0,327300343
22.04.2017;0,350635577;0,331501279;0,271714095;0,370949322;0,327880078
23.04.2017;0,350011352;0,331622348;0,273145167;0,371612585;0,328093341
24.04.2017;0,348029918;0,331292584;0,272118521;0,372236978;0,328170988
25.04.2017;0,3504205;0,331472311;0,271865035;0,372237525;0,328171373
26.04.2017;0,355512113;0,331660454;0,272130532;0,37199851;0,328525107
27.04.2017;0,352625535;0,331695997;0,271990322;0,370477551;0,327126012
28.04.2017;0,351248052;0,331601801;0,272447334;0,369872809;0,32629588
29.04.2017;0,349470605;0,33139964;0,27182016;0,369702699;0,326067737
30.04.2017;0,349630891;0,331573555;0,272553663;0,371281233;0,326690221
01.05.2017;0,353780004;0,331808911;0,27385593;0,372206104;0,327236685
02.05.2017;0,353872241;0,332157656;0,274256037;0,371823549;0,326953158
03.05.2017;0,358439341;0,332487146;0,276018022;0,373516848;0,32782988
04.05.2017;0,362687848;0,333330681;0,285446774;0,37758508;0,329574452
05.05.2017;0,361066133;0,33416501;0,284830211;0,377777705;0,329326923
06.05.2017;0,354424554;0,333810816;0,282864851;0,376601631;0,327853332
07.05.2017;0,360860383;0,336425415;0,294308777;0,379649848;0,332641697
08.05.2017;0,369571067;0,337105628;0,29959614;0,384294012;0,335168986
09.05.2017;0,357612526;0,335286319;0,296388648;0,378800886;0,332726978
10.05.2017;0,350075352;0,33410845;0,296122885;0,375545449;0,330603581
11.05.2017;0,34046102;0,331763047;0,2901122;0,37007883;0,328444393
12.05.2017;0,353059268;0,333293937;0,294465324;0,373355695;0,329911749
13.05.2017;0,367324093;0,337364324;0,303412943;0,380113583;0,333703325
14.05.2017;0,378668075;0,340121239;0,312262746;0,388277219;0,337644046
15.05.2017;0,379359207;0,340440437;0,312426293;0,388874537;0,337485072
16.05.2017;0,36974785;0,3376411;0,311161879;0,385728392;0,334605087
17.05.2017;0,353584284;0,334101936;0,311155768;0,375735353;0,331518383
