GW_EB_EXdt;SM1;SM2;SM3;SM4;SM5
31.08.2017;0,247656147;0,392460422;0,303575747;0,185225008;0,384342976
01.09.2017;0,363848931;0,522419042;0,404009735;0,326095663;0,508216857
02.09.2017;0,380887102;0,531429645;0,419663602;0,350541909;0,532401841
03.09.2017;0,365506267;0,506486684;0,402430912;0,332890298;0,502091861
04.09.2017;0,345982544;0,476678248;0,37983027;0,311258815;0,467734093
05.09.2017;0,354461236;0,484696821;0,388885693;0,328018984;0,472930798
06.09.2017;0,360964509;0,489702237;0,392636962;0,342568498;0,477321143
07.09.2017;0,35989357;0,48737592;0,390318343;0,34568195;0,476369819
08.09.2017;0,347774722;0,45671784;0,388383372;0,328110818;0,452537766
09.09.2017;0,35789847;0,459383802;0,4009685;0,339137297;0,457566291
10.09.2017;0,376250233;0,496698128;0,430547267;0,366993969;0,497035923
11.09.2017;0,359244686;0,467148193;0,405092117;0,342486059;0,468135814
12.09.2017;0,379672433;0,481358668;0,422932003;0,35492752;0,478870136
13.09.2017;0,369907187;0,465198882;0,410337445;0,344393648;0,465867177
14.09.2017;0,390078371;0,473718179;0,424527631;0,353827906;0,474938989
15.09.2017;0,385455313;0,470690839;0,421804987;0,347229336;0,469918322
16.09.2017;0,417081627;0,494971709;0,457841888;0,371215518;0,49418993
17.09.2017;0,411475995;0,488916915;0,44575141;0,364431129;0,487886844
18.09.2017;0,408443818;0,487748318;0,412125871;0,361303099;0,485647851
19.09.2017;0,412606709;0,489809028;0,399744247;0,363612851;0,486427227
20.09.2017;0,407552645;0,486368989;0,408308236;0,363946048;0,483423477
21.09.2017;0,38464592;0,461612609;0,387531265;0,346969436;0,463006205
22.09.2017;0,369732261;0,44460714;0,37359613;0,337065981;0,449763361
23.09.2017;0,362119854;0,433823677;0,361106166;0,327492702;0,437754833
24.09.2017;0,361293835;0,429957104;0,357037946;0,323171;0,432545236
25.09.2017;0,358683025;0,425242889;0,356012947;0,320863646;0,428380304
26.09.2017;0,360684252;0,427231065;0,361458241;0,321731997;0,428103714
27.09.2017;0,385810523;0,455496975;0,390715003;0,35364661;0,45368696
28.09.2017;0,368607986;0,440504718;0,371872039;0,342990811;0,442072777
29.09.2017;0,361079145;0,432376427;0,364713715;0,335972963;0,435257285
30.09.2017;0,362328897;0,431389852;0,37184688;0,334036394;0,433640899
01.10.2017;0,413799385;0,500376017;0,437263702;0,384633041;0,501766634
02.10.2017;0,390399096;0,471545443;0,411197482;0,362492266;0,473898641
03.10.2017;0,417042203;0,495640904;0,449953448;0,385062491;0,500139104
04.10.2017;0,391338996;0,467389157;0,417066405;0,365926203;0,47311944
05.10.2017;0,389570678;0,461927474;0,416231901;0,363832612;0,468167648
06.10.2017;0,423820261;0,50529122;0,463063098;0,398405625;0,513324361
07.10.2017;0,403861284;0,48637232;0,436458049;0,379615629;0,487742655
08.10.2017;0,405285821;0,482374953;0,436572547;0,376753572;0,484780254
09.10.2017;0,406655841;0,48577405;0,436506151;0,377036886;0,486028
10.10.2017;0,397662522;0,475684657;0,426947872;0,37112391;0,476815234
11.10.2017;0,382210996;0,458952704;0,417669335;0,362471637;0,463977828
12.10.2017;0,366896558;0,447124324;0,405226449;0,354724942;0,454259793
13.10.2017;0,356246479;0,437021899;0,394976795;0,348024068;0,444515767
14.10.2017;0,342901197;0,429459216;0,387003339;0,341777044;0,437820515
15.10.2017;0,321919791;0,419043316;0,376093171;0,333417336;0,429294982
16.10.2017;0,291541771;0,411211023;0,362501061;0,32247367;0,420861224
17.10.2017;0,256070984;0,404435503;0,353071419;0,306046963;0,412186622
18.10.2017;0,227132561;0,399166506;0,344305959;0,29146;0,40661828
19.10.2017;0,206632236;0,38767596;0,334758556;0,28423876;0,403165895
20.10.2017;0,19411228;0,38265991;0,329747198;0,275685786;0,397213259
21.10.2017;0,188239447;0,375010639;0,327130977;0,267035804;0,39229534
22.10.2017;0,245897474;0,369426097;0,352026259;0,311381449;0,396185504
23.10.2017;0,346055149;0,438117188;0,443800869;0,378251858;0,471792378
24.10.2017;0,342696608;0,479096419;0,431129483;0,366128395;0,498422212
25.10.2017;0,331297832;0,459691655;0,411781021;0,35043519;0,477886556
26.10.2017;0,3261201;0,453916687;0,407191369;0,343901777;0,470253631
27.10.2017;0,362755862;0,49467491;0,452470602;0,381384087;0,520914085
28.10.2017;0,345738376;0,478875034;0,428262205;0,361999421;0,500166833
29.10.2017;0,363794123;0,491365159;0,464898137;0,389718421;0,52872311
30.10.2017;0,349424485;0,477806205;0,437418923;0,369191098;0,507533974
31.10.2017;0,340425548;0,46564322;0,422383329;0,359043909;0,492033798
